pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2021-10-14,87.6,-1.53,5.67,"Doval, Camilo",641355,666808,single,hit_into_play,,,,,8.0,Cody Bellinger singles on a sharp line drive to right fielder Austin Slater.   Justin Turner scores.    Gavin Lux to 3rd.,D,L,R,SF,LAD,X,9.0,line_drive,1,2,2021,0.65,-0.17,0.15,1.92,,457759.0,666158.0,1,9,Top,151.83,87.38,,,,,2.7335309228515574,-127.7669246579426,-2.712684261374823,6.76258881005535,22.706847235078055,-33.70458485411211,3.55,1.63,156.0,101.0,9.0,88.9,2610.0,6.7,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.83,0.7,0.639,0.9,1.0,1.0,0.0,4.0,64,4,Slider,1,1,1,1,2,1,2,1,Infield shift,Standard,50.0,-0.311,0.55,,,0.784,-0.55,101.0,0,0,0.421,0.579,23,25,24,26,1,3,3.0,2.0,,2.0,3.09,-0.65,0.65,29.9
SL,2021-10-14,87.7,-1.53,5.79,"Doval, Camilo",641355,666808,,foul,,,,,9.0,Cody Bellinger singles on a sharp line drive to right fielder Austin Slater.   Justin Turner scores.    Gavin Lux to 3rd.,D,L,R,SF,LAD,S,,,1,1,2021,0.41,-0.13,0.63,1.66,,457759.0,666158.0,1,9,Top,,,,,,,4.416563004505434,-127.68796941073562,-3.6310154281080456,3.6169429166733265,24.947366337882368,-33.12996974882526,3.55,1.63,2.0,86.5,-35.0,88.2,2495.0,6.5,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.02,,,,,,,,64,3,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,55.0,0.0,-0.063,,,,0.063,88.0,0,0,0.421,0.579,23,25,24,26,1,3,3.0,2.0,,2.0,3.08,-0.41,0.41,31.6
SL,2021-10-14,86.0,-1.7,5.73,"Doval, Camilo",641355,666808,,swinging_strike,,,,,5.0,Cody Bellinger singles on a sharp line drive to right fielder Austin Slater.   Justin Turner scores.    Gavin Lux to 3rd.,D,L,R,SF,LAD,S,,,1,0,2021,0.58,-0.25,-0.2,2.35,,457759.0,666158.0,1,9,Top,,,,,,,2.369221128136278,-125.38945857109326,-1.33796717224,5.6928466749617,23.61479064958336,-34.73266170740932,3.55,1.63,,,,86.3,2455.0,6.2,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.28,,,,,,,,64,2,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,59.0,0.0,-0.054,,,,0.054,,0,0,0.421,0.579,23,25,24,26,1,3,3.0,2.0,,2.0,3.3,-0.58,0.58,27.7
SL,2021-10-14,87.6,-1.66,5.67,"Doval, Camilo",641355,666808,,ball,,,,,13.0,Cody Bellinger singles on a sharp line drive to right fielder Austin Slater.   Justin Turner scores.    Gavin Lux to 3rd.,D,L,R,SF,LAD,B,,,0,0,2021,0.23,0.08,-1.28,1.25,,457759.0,666158.0,1,9,Top,,,,,,,0.4458921385282969,-127.66545201648228,-4.7216001031189165,2.4175945555062506,25.33687001771376,-30.607772597607436,3.6,1.65,,,,87.7,2492.0,6.2,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.34,,,,,,,,64,1,Slider,1,1,1,1,1,1,1,1,Infield shift,Standard,65.0,0.0,0.048,,,,-0.048,,0,0,0.421,0.579,23,25,24,26,1,3,3.0,2.0,,2.0,2.88,-0.23,0.23,26.2
FC,2021-10-14,97.8,-1.66,5.71,"Doval, Camilo",666158,666808,single,hit_into_play,,,,,5.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,X,9.0,ground_ball,2,2,2021,-0.29,1.16,-0.06,2.54,,,457759.0,1,9,Top,176.81,120.53,,,,,4.9990696543379,-142.40862051488972,-5.825832296020923,-4.998643703331135,28.342672838581144,-15.292054426468122,3.47,1.59,24.0,93.4,-4.0,99.0,2535.0,6.6,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.87,0.294,0.311,0.9,1.0,1.0,0.0,2.0,63,6,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,211.0,-0.077,0.439,,,0.335,-0.439,93.4,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,1.2,0.29,-0.29,26.4
SL,2021-10-14,88.3,-1.6,5.68,"Doval, Camilo",666158,666808,,foul,,,,,14.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,S,,,2,2,2021,0.32,0.07,0.18,1.44,,,457759.0,1,9,Top,,,,,,,3.666036891680192,-128.64267724512075,-4.477396164224454,2.9678244287583095,22.965573051954458,-30.764992480499327,3.47,1.59,178.0,95.7,11.0,89.1,2483.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.07,,,,,,,,63,5,Slider,1,1,1,1,1,1,1,1,Standard,Standard,43.0,0.0,0.0,,,,0.0,95.7,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,2.81,-0.32,0.32,31.2
SL,2021-10-14,89.1,-1.58,5.67,"Doval, Camilo",666158,666808,,blocked_ball,,,,,13.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,B,,,1,2,2021,0.34,-0.14,-0.14,0.54,,,457759.0,1,9,Top,,,,,,,2.8457218935338298,-129.67415871488268,-6.336450133541677,3.295254848333672,26.582921299141443,-32.607999151498916,3.23,1.52,,,,89.9,2556.0,6.7,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.79,,,,,,,,63,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,44.0,0.0,0.041,,,,-0.041,,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,3.0,-0.34,0.34,30.4
SL,2021-10-14,87.7,-1.51,5.69,"Doval, Camilo",666158,666808,,swinging_strike,,,,,14.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,S,,,1,1,2021,0.34,-0.14,0.73,1.34,,,457759.0,1,9,Top,,,,,,,4.727466566340212,-127.77143738616878,-4.162740529270477,2.86444877516957,24.69226567802686,-33.05931179434319,3.47,1.59,,,,88.3,2560.0,6.4,660920,457763,527038,456781,446334,543063,573131,592178,596103,54.05,,,,,,,,63,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,49.0,0.0,-0.072,,,,0.072,,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,3.08,-0.34,0.34,28.1
SL,2021-10-14,87.1,-1.6,5.61,"Doval, Camilo",666158,666808,,foul,,,,,8.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,S,,,1,0,2021,0.51,-0.01,0.22,1.76,,,457759.0,1,9,Top,,,,,,,3.3436015250141535,-126.80473751659602,-3.0476467654906028,4.753647393133003,26.71843539556075,-31.904244558906154,3.47,1.59,,,,87.4,2445.0,6.5,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.96,,,,,,,,63,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,60.0,0.0,-0.044,,,,0.044,,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,3.02,-0.51,0.51,28.3
SL,2021-10-14,88.0,-1.8,5.64,"Doval, Camilo",666158,666808,,ball,,,,,13.0,Gavin Lux singles on a ground ball to right fielder Austin Slater.   Justin Turner to 2nd.,D,L,R,SF,LAD,B,,,0,0,2021,0.46,0.07,-0.63,1.36,,,457759.0,1,9,Top,,,,,,,1.878152267892288,-128.11240955574425,-4.4898625310144284,4.71321108130351,25.871668833726204,-30.690254385255507,3.3,1.56,,,,88.7,2559.0,6.7,660920,457763,527038,456781,446334,543063,573131,592178,596103,53.83,,,,,,,,63,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,57.0,0.0,0.04,,,,-0.04,,0,0,0.498,0.502,23,23,24,24,1,3,3.0,2.0,,3.0,2.86,-0.46,0.46,27.8
